ORGANIZATION,ADDRESS,Tel,FAX,WEBSITE,EMAIL,lon,lat
Special Needs Trust Company Limited,Blk 298 Tiong Bahru Road Central Plaza #03-05 168730,6593 6497,6270 7936,www.sntc.org.sg,admin@sntc.org.sg,103.8281439,1.2863212
Spectra Secondary,Blk 1 Woodlands Drive 64 Singapore  737758,6466 0775,6462 3928,-,Christopher_chee@spectra.edu.sg,103.8043789,1.4364557
Sree Narayana Mission Home for the Aged Sick,Blk 12 Yishun Avenue 5 Singapore 768992,6752 1785,6752 9548,www.sreenarayanamission.org,bernadette@snm.org.sg,103.831136,1.4300181
St Andrew's Autism School,Blk No 1  Elliot Road Singapore  458686,6517 3800,6517 3801,www.saac.org.sg,irene_lau@saac.org.sg,103.930032,1.310783
St Andrew's Mission Hospital,Blk 8 Simei street 3 #04-02 Singapore 529895,6586 1000,6585 1100,www.sach.org.sg,-,103.9488576,1.3418195
St Andrew's Nursing Home,Blk 60 Buangkok View Singapore 534012,6880 5330,6880 5347,www.samh.org.sg,enquiries@sanh.org.sg,103.8851742,1.3805286
St John's Home for Elderly Persons,Blk 69 Wan Tho Avenue Singapore 347601,6284 8221,6285 4885,www.sjhfep.org.sg,stjnhome@singnet.com.sg,103.8736143,1.3329289
St Luke's Eldercare Ltd - HQ,Blk 50 Kallang Pudding Road #07-02 Singapore 349326,6390 9368,-,www.slec.org.sg,hq@slec.org.sg,103.8784283,1.3283702
St Luke's Hospital Ltd,Blk 2 Bukit Batok Street 11 Singapore 659674,6563 2281,6581 8205,www.slh.org.sg,chianeetan@stluke.org.sg,103.742008,1.349345
St. Hilda's Community Services Centre,Blk 10 Jalan Batu #01-06 Singapore 431010,6345 0054,6346 5432,www.sthildascsc.org.sg,info@sthildascsc.org.sg,103.882927,1.301943
Student Advisory Centre - Children's Wishing Well,Blk 365 Clementi Avenue 2 #01-503 Singapore 120365,6777 0041,6777 0664,www.wishingwell.org.sg,georgie@wishingwell.org.sg,103.7702072,1.312215
Sunlove Abode For Intellectually-Infirmed Ltd,Blk 70 Buangkok View Buangkok Green Medical Park Singapore 534190,6387 3548,6343 7464,www.sunlovehome.org.sg,sunlovehome@hotmail.com,103.8854725,1.3807254
Sunshine Welfare Action Mission (SWAMI),Blk 5 Sembawang Walk Singapore 757717,6257 6117,6754 8443,www.swami.org.sg,swamihme@singnet.com.sg,103.8240579,1.440016
Tan Tock Seng Hospital -  Rehab Centre (C&C),Blk 17 Ang Mo Kio Avenue 9 Singapore 569766,6450 6181,6459 3441,-,contact@ttsh.com.sg,103.8403717,1.3841331
Tan Tock Seng Hospital - Care & Counselling Dept,Blk 11 Jalan Tan Tock Seng B2 308433,6357 8222,6357 8223,-,-,103.8453715,1.3218081
Tan Tock Seng Rehabilitation Centre - CRP,Blk 17 Ang Mo Kio Avenue 9 Singapore 569766,6450 6186,6772 4571,-,-,103.8403717,1.3841331
Tanjong Pagar Community Club,Blk 101 Cantonment Road Singapore 089774,6221 9898,6222 5859,-,pa_tanjongpagarcc@pa.gov.sg,103.8416016,1.2761234
Teen Challenge Singapore,Blk 735 Old Choa Chu Kang Road Singapore 699798,6793 7933,6793 7457,www.teenchallenge.org.sg,info@teenchallenge.org.sg,103.701409,1.372222
The Boy's Brigade in Singapore,Blk 105 Ganges Avenue BB Campus Singapore 169695,6737 0377,6737 1676,www.BB.org.sg,julie_ong@bb.org.sg,103.8317225,1.2914559
The Eurasian Association Singapore,Blk 139 Ceylon Road Singapore 429744,6447 1578,6447 3189,www.eurasians.org,ram@eurasians.org,103.899418,1.3100719
The Helping Hand,Blk 819 Upper Serangoon Road Singapore 534678,6283 2204,6283 3748,www.thehelpinghand.org.sg,adminsupport@thehelphand.org,103.88158,1.357828
The New Charis Mission,"Blk 1 11 Jalan Ubi, Kembangan-Chai Chee Community Hub Block 1, #01-01 Singapore 409047",6483 3707,6483 3658,www.thenewcharismission.org.sg,admin@tncm.org.sg,103.8999315,1.3171718
The Operation Hope Foundation Ltd,Blk 55 Ayer Rajah Cresent 06-23 Singapore 139949,6873 2955,-,www.ohf.org.sg,admin@ohf.org.sg,103.7878156,1.2950412
The Ray of Hope Initiative Limited,Blk 8  Temasek Boulevard Suntec Tower 3 #18-03 Singapore  038988,6931 0055,-,www.rayofhope.sg,info@rayofhope.sg,103.8594994,1.2953148
The Salvation Army - Family Support Services,Blk 42 Beo Crescent #01-95 Singapore 160042,6273 7207,-,www.salvationarmy.org,fss_beo@SMM.salvationarmy.org,103.8264542,1.2887879
The Salvation Army - Prison Support Services,Blk 356 Tanglin Road Belevere  Block B Level 3 Singapore 247674,6355 1456,-,www.salvationarmy.org/singapore/prison_supp,kidsinplay@SMM.Salvationarmy.org,103.8150601,1.2946972
The Salvation Army - Red Shield Industries,Blk 356 Tanglin Road Singapore 247674,6718 2507,6718 2504,www.salvationarmy.org.sg,Donor@SMM.salvationarmy.org,103.8150601,1.2946972
The Salvation Army – Youth Development Centre,Blk 65 Kallang Bahru #01-305 Singpapore 330065,6291 6303,-,www.salvationarmy.org.sg,ydc@smm.salvationarmy.org,103.8686454,1.3198895
The SBL Vision Family Service Centre,Blk 946 Tampines Avenue 4 #01-338 Singapore 520946,6544 2263,6544 2253,www.sblvisionfsc.org.sg,sbl@sblvisionfsc.org.sg,103.9398804,1.3513551
The WP Community Fund,Blk 7500A Beach Road #14-324 Singapore 199591,6846 1140,-,www.wpcf.sg,enquiries@wpcf.sg,103.860815,1.299739
THK Bedok Radiance SAC,"Blk Blk 12 Bedok South Ave 2, Singapore #01-610 460012",6242 2483,6444 5107,-,-,103.9372926,1.3236244
THK Care From Your Community,Blk 133 New Bridge Road #04-04 Singapore 059413,6924 0315,-,www.thkmc.org.sg,cfc@thkmc.org.sg,103.8447228,1.2852093
THK Cluster Support @ Ang Mo Kio,Blk 650 Ang Mo Kio Street 61 #01-09 Singapore 560650,6556 4833,-,www.thkmc.org.sg,acs@thkmc.org.sg,103.8426748,1.3776467
THK Cluster Support @ Bedok,Blk 13 Bedok South Road #01-625 Singapore 460013,6241 8171,6241 8177,www.thkmc.org.sg,bcs@thkmc.org.sg,103.9371033,1.3206364
THK Cluster Support @ Bukit Merah,Blk 44   Beo Crescent #01-57 Singapore 160044,6924 2951,6538 3805,www.thkmc.org.sg,csbm@thkmc.org.sg,103.8264942,1.2889112
THK Cluster Support @ Geylang,Blk 93 Paya Lebar Way #01-3057 Singapore 370093,6846 1228,6846 1226,www.thkms.org.sg,gcs@thkmc.org.sg,103.8883456,1.322814
THK Crest @ Central,Blk 44 Beo Crescent #01-57 Singapore 160044,6924 2951,-,www.thkmc.org.sg,csbm@thkmc.org.sg,103.8264942,1.2889112
THK Crest @ Chong Pang,Blk 131 Yishun Street 11 01-235 760131,6690 0110,-,www.thkmc.org.sg,crest@thkmc.org.sg,103.8333993,1.4308789
THK Family Service Centre @ Bedok North,Blk 554 Bedok North Street 3 #01-241 Singapore 460554,6449 1440,6242 2040,www.thkmc.org.sg,-,103.928014,1.33285
THK Family Service Centre @ Bukit Panjang,Blk 139 Petir Road #01-448 Singapore 670139,6767 1740,6767 2771,www.thkmc.org.sg,bpfsc@thkmc.org.sg,103.769577,1.3753952
THK Family Service Centre @ Jurong,Blk 183B  Boon Lay Avenue  #01-716 Singapore  642183,6716 9466,6261 8187,www.thkmc.org.sg,jurongfsc@thkmc.org.sg,103.7096914,1.3483996
THK Family Service Centre @ MacPherson,Blk 91 Paya Lebar Way #01-3023 Singapore 370091,6741 4255,6741 6989,www.thkmc.org.sg,macfsc@thkmc.org.sg,103.8863735,1.3227107
THK Family Service Centre @ Tanjong Pagar,Blk 18 Jalan Membina #04-01 Singapore 164018,6270 6711,6270 9663,www.thkmc.org.sg,tpfsc@thkmc.org.sg,103.8267886,1.2854546
THK Moral Child Care Centre @ Macpherson,Blk 93 Paya Lebar Way #01-3039 Singapore  370093,6741 8359,6741 2364,www.thkms.org.sg,agnestan@thkms.org.sg,103.8883456,1.322814
THK Pan-Disability Centre @ Eunos,Blk 3 Eunos Crescent #01-2577 Singapore 400003,6846 1171,6846 1121,www.thkmc.org.sg,hanscheong@thkmc.org.sg,103.903156,1.320662
THK Seniors Activity Centre @ AMK 257,Blk 257 Ang Mo Kio Avenue 4 #01-67 Singapore 560257,6459 9139,6459 9329,www.thkmc.org.sg,amksac257@thkmc.org.sg,103.835595,1.370193
Thye Hua Kwan Hospital - Ang Mo Kio,Blk 17  Ang Mo Kio Avenue 9 Singapore 569766,6450 8033,6450 6171,www.amkh.org.sg,grace_tan@amkh.org.sg,103.8403717,1.3841331
Thye Hua Kwan Moral Charities - THK Care Provider,Blk 131 Yishun Street 11 #01-235 Singapore 760131,6690 0110,6754 6424,www.thkmc.org.sg,-,103.831219,1.433214
Thye Hua Kwan Moral Society,Blk 1 North Bridge Road High Street Centre #03-33 Singapore 179094,6337 1201,6334 5431,www.thkms.org.sg,mwh@thkms.org.sg,103.849293,1.2899163
Toa Payoh East - Novena Constituency Office,Blk 160 Lorong 6 Toa Payoh East Community Club Singapore 319380,6251 6515,-,-,pa_toapayoheastcc@pa.gov.sg,103.8546523,1.3362303
Toa Payoh Senior Citizen's Health Care,Blk 249 Kim Keat Link #01-83 Singapore 310249,6259 0669,6251 0285,www.truepassion.org.sg,admin@truepassion.org.sg,103.8566442,1.3313391
TOUCH Cluster Support @ Kallang,Blk 61 Geylang Bahru #01-3293 Singapore 330061,6297 9897,6298 1823,www.touch.org.sg,clustersupport@touch.org.sg,103.8694347,1.3224332
TOUCH Cluster Support @ Yishun,Blk 108 Yishun Ring Road #01-287 Singapore 760108,6481 5031,6481 5142,www.touch.org.sg,siewwah.poh@touch.org.sg,103.8290981,1.432342
Touch Community Services - Touch Family Enablement,Blk 162 Bukit Merah Central #05-3545 Singapore 150162,6377 0122,6377 0121,www.touch.org.sg,tcs@touch.org.sg,103.8174297,1.2838751
Touch Community Services Ltd,Blk 162 Bukit Merah Central #05-3545 Singapore 150162,6377 0122,6377 0121,www.touch.org.sg,chiewgoek.ang@touch.org.sg,103.8174297,1.2838751
TOUCH Home Care ( Ang Mo Kio ),Blk 444 Ang Mo Kio Avenue 10 #01-1603 Singapore 560444,6804 6565,6451 2086,www.touch.org.sg,homecare@touch.org.sg,103.8555479,1.3666375
TOUCH Home Care (Jurong),Blk 457 Jurong West Street 41 #01-762 Singapore 640457,6631 3080,6896 1907,www.tcs.org.sg,-,103.7209445,1.350764
TOUCH Home Care (Toa Payoh),Blk 173 Lorong 1 Toa Payoh  #01-1264 Singapore 310173,6661 0855,6258 1013,www.touch.org.sg,tcs@touch.org.sg,103.8425052,1.3300248
TRANS Family Service Centre (Bedok Reservoir),Blk 133 Bedok Reservoir Road 01-1205 Singapore 470133,67473202,67473022,www.transfamilyservices.org.sg,transbr@trans.org.sg,103.9119068,1.3324839
TRANS Family Service Centre (Bedok),Blk 411 Bedok North Ave 2 #01-106 460411,6449 0762,6449 8135,www.transfamilyservices.org.sg,transbd@trans.org.sg,103.9308277,1.3278344
TRANS Family Service Centre (Bukit Timah),Blk 1 Toh Yi Drive #01-143 Singapore 591501,6466 2287,6469 2790,www.transfamilyservices.org.sg,transbt@trans.org.sg,103.7747655,1.3395672
Trybe Limited,Blk 479 Tampines Street 44 #01-241 Singapore 520479,6784 1481,6784 8523,www.trybe.org,narash@trybe.org,103.95368,1.361342
Tsao Foundation,Blk 298 Central Plaza Tiong Bahru Road  #15-01 Singapore 038985,6593 9500,6593 9505,www.tsaofoundation.org,tsao1@pacific.net.sg,103.8281439,1.2863212
Vanguard Healthcare Pte Ltd - Bukit Batok,Blk 11  Bukit Batok West Ave 9  Singapore  657995,6843 7168,6904 3952,www.carehome.com.sg,BukitBatok@vanguardhealthcare.com.sg,103.7404717,1.3536300000000001
Vanguard Healthcare Pte Ltd - Pearl's Hill,Blk 5  Pearl's Hill Road Singapore 168996,6320 9818,6320 9828,www.carehome.com.sg,pearlshill@vanguardhealthcare.com.sg,103.841897,1.285507
Vanguard Healthcare Pte Ltd - Tampines,Blk 31  Tampines Street 61  Singapore  737749,6541 9500,6266 1439,www.carehome.com.sg,tampines@vanguardhealthcare.com.sg,103.9375302,1.3630639
Vanguard Healthcare Pte Ltd - Woodlands,Blk 2  Woodlands Rise  Singapore  737749,6540 9200,6266 1439,www.carehome.com.sg,woodlands@vanguardhealthcare.com.sg,103.8044584,1.4460386
Viriya Family Service Centre,Blk 142 Potong Pasir Avenue 3 #01-224 Singapore 350142,6285 8033,6285 8062,www.viriya.org.sg,DREAMSadmin@gmail.com,103.866983,1.3331527
Wan Min Community Services,Blk 65 & 67 Woodsville Close Singapore 357794,6382 0323,6382 9631,-,wondrous_cross@hotmail.com,103.86795,1.33054
We Care Community Services Limited,Blk 11 Jalan Ubi Block 5  #01-41 Singapore 409074,6547 5459,6547 5458,www.wecare.org.sg,admin@wecare.org.sg,103.8998091,1.3174069
Whampoa CCC Community Development & Welfare Fund,Blk 300 Whampoa Drive Singapore 327737,6352 2023,6352 0305,-,ng_min_fen@pa.gov.sg,103.856995,1.324816
Whampoa Eldercare Centre,Blk 97 Whampoa Drive #01-222 Singapore 320097,6252 9661,6252 9662,-,-,103.8549441,1.321369
Whampoa Family Service Centre,Blk 300  Whampoa Drive  Whampoa Community Club  #02-13 Singapore  327737,6326 0300,6326 0301,www.wfsc.org.sg,info@wfsc.org.sg,103.8569444,1.3247222
Wheelchair Racing Association (Singapore),Blk 98 St Francis Lodge St Francis Road #06-02 Singapore 328074,8107 3068,6775 8744,www.wcracing.org,info@wcracing.org,103.863997,1.3252102
Whispering Hearts Family Service Centre,Blk 646 Jurong West Street 61 #01-142 Singapore 640646,6795 1008,6795 8970,www.viriya.org.sg,-,103.6969699,1.339407
Wicare Support Group,Blk 9 Bishan Place Junction 8 Office Tower #08-01 Singapore 579837,6354 2475,6354 2475,www.wicare.org.sg,contactus@wicare.org.sg,103.8487631,1.3506808
Woodlands Social Centre,Blk 830 Woodlands Street 83 #01-33 Singapore 730830,63655234,63631020,www.wsc.org.sg,info@wsc.org.sg,103.7919945,1.4395055
Yayasan Mendaki,Blk 51  Kee Sun Avenue Singapore 457056,6245 5710,6443 8872,www.mendaki.org.sg,mendaki@mendaki.org.sg,103.9288552,1.3111721
Yong-En Care Centre,Blk 335A Smith Street Chinatown Complex #03-57 Singapore 051335,6225 1002,6225 5218,www.yong-en.org.sg,mail@yong-en.org.sg,103.8428528,1.2823021
Young Men's Christian Association of Singapore,Blk 1 Orchard Road Singapore 238824,6430 2224,6430 2221,www.ymca.org.sg,brandonleong@ymca.org.sg,103.8480065,1.2975672
Young Women's Christian Association,Blk 254 Outram Road Singapore 169051,6223 1227,6227 3650,www.ywca.org.ag,admin@ywca.org.sg,103.835165,1.285734
Youth Guidance Outreach Services,Blk 125 Ang Mo Kio Avenue 6 #01-4077 Singpaore 560125,6451 6519,6453 3796,-,boonsiong@ygos.org.sg,103.8448587,1.3714624
YWCA  ( Admin ),Blk 254 Outram Road Singapore 169051,6223 1227,6227 3650,-,admin@ywca.org.sg,103.835165,1.285734
